,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,label
0,0.06720833226821901,0.0,0.0022435188219171965,0.0006501019245698083,0.0,0.0,0.0,0.9954835978305671,0.0,0.0,0.0,0.0,0
1,0.0,0.047769622781794314,0.25715096901469775,0.2999292455574115,1.9096644562411464e-06,4.9397214081382195e-08,0.010126582278481013,0.1231490357561342,0.016770730774060456,0.002892750189114465,0.014924080233827883,0.027276066945881763,9
2,0.06458400967008063,0.018503893924835882,0.16698594634944885,0.15405354665654056,8.044814383774032e-07,7.09599803126006e-09,0.007594936708860759,0.7423839964764879,0.009512294951210526,0.0005854456059683281,0.0055572760387264985,0.20264539848695562,7
3,0.06395077426399719,0.004242793514890894,0.00021946435336775666,0.0,6.874512468876983e-07,6.082967837093397e-09,0.007594936708860759,0.9959317904122665,0.007574584906273797,7.464712140648905e-05,0.015284160486098652,0.7643185040199766,0
4,0.0066681700950661825,0.008835103061156776,0.03971999698051054,0.03931621769031339,1.0434257481595645e-06,1.0514369232850387e-08,0.008860759493670886,0.8759084223840653,0.00975485147711015,0.00019711838344570174,0.012532964080644958,0.5718127568906194,2
5,0.06662540972238469,0.009000504905311573,0.010105890514901447,0.009601950060658912,2.677942050697017e-06,3.721666309692429e-08,0.012658227848101266,0.994070067380592,0.012640819689736836,0.00020032632083862842,0.025832325064844567,0.8614018643811266,0
6,0.004535362699283127,0.043876257548641516,0.39693233575062303,0.37708631054088765,4.213742166242088e-06,6.307447535791964e-08,0.013924050632911392,0.544070426634866,0.017342892221927694,0.0024884977472526375,0.006007307797267701,0.13996862153498643,6
7,0.06676195519004445,0.04907766705278382,0.48053199889476955,0.4418268140022054,5.435300233412353e-06,8.592124323235421e-08,0.015189873417721518,0.5381646418138635,0.01865102820210901,0.003033222971701144,0.004948882571421957,0.13345131669334329,6
8,0.012819058606881924,0.017777663827937634,0.08503403108869731,0.08092439776891694,6.835526655419376e-06,1.292879966637356e-07,0.017721518987341773,0.844527229403374,0.01883569052021639,0.0005514344292082245,0.018112703036147374,0.7260863375705041,2
9,0.011746994053400565,0.04339772262917105,0.36570472312776225,0.3475637671680577,1.246273747710922e-05,2.762302765086817e-07,0.021518987341772152,0.5982962690822536,0.02450648758370469,0.002440748470218951,0.007792467231635792,0.330914120505029,6
10,0.022204674769557866,0.033966153482489055,0.2694433220112581,0.24748129661956564,1.6261261821258415e-05,4.097952871528072e-07,0.024050632911392405,0.78810013988634,0.02558193657691625,0.001594325606709265,0.00981860769358322,0.5379951018883494,4
11,0.023632639033154185,0.05010065657038876,0.3847614597985518,0.3727735534162762,2.5412579130975255e-05,7.260662662128758e-07,0.027848101265822784,0.561183780377544,0.03110512401057095,0.0031485727810642325,0.010001927543633118,0.4024215787593993,6
12,0.0258451501183992,0.026891784271885943,0.047081864530002654,0.046067488781843885,3.156554621857962e-05,9.971783479590313e-07,0.030379746835443037,0.9469925960477694,0.030682627608049403,0.0010747636643638947,0.05026440866448824,0.9323811585809303,2
13,0.047857039643083736,0.0791646166973793,0.8525211928716301,0.7515515345048165,4.0727363479416404e-05,1.388453429376657e-06,0.03291139240506329,0.5560833298503145,0.03619611039886373,0.007243987862730345,0.003857865516418662,0.2610434675486394,7
14,0.021870345108425518,0.031463910922361865,0.038212309037461756,0.0386562732233324,4.5368147405746494e-05,1.579815938734789e-06,0.03417721518987342,0.9735428058497128,0.03426872574668357,0.0013993058113162334,0.06582042648564501,0.9161889371389855,8
15,0.08046979498544013,0.03073956828999816,0.0037389977728647986,0.007916284913553505,4.9215294641272354e-05,1.8037029819378843e-06,0.035443037974683546,0.9892089016867749,0.03541200109372565,0.0013428939170755509,0.09672385858003021,0.9801178528950854,0
16,0.17325146227700597,0.03753633311013935,0.07684687020915272,0.0880567507597426,6.0263210706158266e-05,2.353237406766546e-06,0.0379746835443038,0.73304211866872,0.03989572985243597,0.0018849287143507703,0.048584609872469556,0.86503490534097,5
