,os_1,os_2,sm_2,sm_3,sm_4,sm_6,sm_7,sm_8,sm_9,sm_11,sm_12,sm_13,sm_14,sm_15,sm_17,sm_20,sm_21,fault?
7,-0.0034,0.0003,0.4066265060240768,0.2598648354044047,0.3160027008777857,1.0,0.644122383252826,0.15151515151504713,0.08556941577671928,0.2321428571428575,0.8059701492537357,0.2205882352943045,0.16064609350810274,0.31819930742593644,0.25,0.6434108527131774,0.5749792874896432,0
12,-0.0019,0.0004,0.5602409638554365,0.24307826466099983,0.3136394328156638,1.0,0.5780998389694165,0.33333333333310367,0.1125818899757699,0.3154761904761912,0.6737739872068247,0.29411764705862686,0.14531943441016,0.34744132358599816,0.4166666666666667,0.6124031007751936,0.5267881800607556,0
39,-0.0,-0.0004,0.31024096385541944,0.24068018312622488,0.329507089804186,1.0,0.7600644122383391,0.2424242424240754,0.1402225612492144,0.2857142857142839,0.6716417910447797,0.1911764705884418,0.16043967385695215,0.20584840323201098,0.3333333333333333,0.5426356589147312,0.6665285832642887,0
80,-0.0018,-0.0004,0.4578313253012081,0.30041421408327745,0.33406482106684604,1.0,0.6489533011272178,0.30303030303009426,0.10580633581620688,0.3452380952380943,0.6332622601279213,0.2500000000001672,0.14929301269481024,0.383993843786072,0.3333333333333333,0.4883720930232581,0.6611433305716651,0
107,0.0008,0.0001,0.6867469879518122,0.32417702201875037,0.2906819716407837,1.0,0.7375201288244742,0.36363636363611307,0.11352418558736886,0.4523809523809513,0.6034115138592672,0.2205882352943045,0.16296831458355288,0.34013081954597935,0.4166666666666667,0.47286821705426346,0.5647611157138899,0
123,0.0025,0.0002,0.3825301204819296,0.3509919337257487,0.3381161377447665,1.0,0.3880837359098226,0.34848484848495287,0.14044691734721804,0.4166666666666642,0.577825159914703,0.3676470588236179,0.17483744452471955,0.449018853405155,0.4166666666666667,0.5116279069767419,0.4693454846727426,0
191,0.0009,-0.0,0.7018072289156542,0.6620885110093752,0.7587778528021614,1.0,0.22544283413848545,0.6363636363638869,0.051557031320110164,0.8333333333333326,0.29637526652452106,0.6470588235296478,0.05671379915368307,0.7171989226625655,0.6666666666666666,0.2635658914728655,0.09762496547914758,4
406,-0.0004,0.0005,0.5301204819277183,0.44473512099411466,0.4959486833220814,1.0,0.6280193236715017,0.287878787878934,0.2217086960423572,0.428571428571428,0.4968017057569204,0.30882352941189256,0.2165342140571787,0.36283185840708154,0.5833333333333334,0.44961240310077416,0.30764982049157624,0
478,-0.0005,0.0006,0.7951807228915774,0.8166557662960527,0.8202228224172841,1.0,0.291465378421895,0.45454545454514134,0.3932064973526016,0.7559523809523787,0.23880597014923347,0.48529411764706865,0.3902879554133564,0.8141592920354007,0.8333333333333334,0.22480620155038708,0.2631869649268157,8
523,-0.0025,-0.0005,0.28313253012046957,0.2605188576411601,0.27143821742066043,1.0,0.7375201288244742,0.21212121212106597,0.15363905590953825,0.12500000000000053,0.742004264392313,0.26470588235276415,0.20100113530808536,0.4205463639861526,0.3333333333333333,0.8449612403100752,0.7376415354874325,0
657,0.0012,0.0,0.692771084337349,0.7359930237628058,0.7761647535449023,1.0,0.33172302737519666,0.36363636363611307,0.7887911693439846,0.7380952380952394,0.1791044776119251,0.47058823529380295,0.8019403447208213,0.6952674105425157,0.8333333333333334,0.2015503875968978,0.08561170947251814,3
767,-0.0009,0.0004,0.3795180722891612,0.2356660126444281,0.33001350438892557,1.0,0.6457326892109566,0.2575757575759246,0.21179215651081668,0.3095238095238072,0.6503198294243056,0.2500000000001672,0.2448653111776282,0.3966910350134717,0.4166666666666667,0.7131782945736452,0.7115437724385529,0
776,0.0005,-0.0002,0.48192771084335534,0.36036625245258186,0.49999999999999806,1.0,0.6537842190016097,0.2272727272729152,0.17917077986179747,0.42261904761904817,0.571428571428568,0.3235294117644895,0.2375890184745589,0.6029242016160089,0.4166666666666667,0.44961240310077416,0.480944490472243,0
846,-0.0024,-0.0002,1.0,0.8953564421190283,0.849088453747467,1.0,0.3349436392914578,0.34848484848495287,0.7923808669119613,0.7738095238095223,0.2452025586353927,0.4117647058820776,0.8229951491382015,0.7683724509426701,0.8333333333333334,0.23255813953488166,0.2850041425020694,4
946,-0.0027,-0.0003,0.2138554216867278,0.32068890342271633,0.2564145847400414,0.0,0.5942028985507225,0.06060606060601885,0.22327918872835004,0.1904761904761907,0.867803837953089,0.1764705882351761,0.28083393539064994,0.35090419392074107,0.3333333333333333,0.6434108527131774,0.5828500414250165,0
